KANA,09/01/2548,22.02,7.6,24.19
KANA,10/01/2548,23.88,7.3,23.79
KANA,11/01/2548,25.16,6.0,22.69
KANA,12/01/2548,22.50,5.6,23.49
KANA,01/01/2549,15.23,5.4,24.69
KANA,02/01/2549,16.51,4.9,24.69
KANA,03/01/2549,28.76,5.4,25.49
KANA,04/01/2549,29.74,5.6,25.69
KANA,05/01/2549,23.85,5.2,26.74
KANA,06/01/2549,20.55,4.4,27.54
KANA,07/01/2549,26.45,3.6,27.54
KANA,08/01/2549,16.68,3.1,27.54
KANA,09/01/2549,19.40,2.1,24.54
KANA,10/01/2549,35.17,2.6,24.24
KANA,11/01/2549,19.77,3.1,23.84
KANA,12/01/2549,18.74,3.3,23.34
KANA,01/01/2550,17.43,2.6,22.54
KANA,02/01/2550,16.93,1.3,22.94
KANA,03/01/2550,16.79,1.7,24.14
KANA,04/01/2550,22.50,2.0,25.34
KANA,05/01/2550,36.75,2.2,25.34
KANA,06/01/2550,28.69,1.9,25.34
KANA,07/01/2550,26.28,1.5,25.74
KANA,08/01/2550,17.45,0.3,25.34
KANA,09/01/2550,21.00,1.5,27.34
KANA,10/01/2550,22.50,2.9,28.14
KANA,11/01/2550,16.14,4.4,29.34
KANA,12/01/2550,14.62,5.2,29.34
KANA,01/01/2551,26.95,6.5,29.14
KANA,02/01/2551,22.58,7.0,29.94
KANA,03/01/2551,14.07,6.8,30.94
KANA,04/01/2551,18.89,8.2,33.44
KANA,05/01/2551,26.97,10.2,39.04
KANA,06/01/2551,19.00,11.4,42.64
KANA,07/01/2551,21.48,10.4,37.94
KANA,08/01/2551,26.63,2.9,33.04
KANA,09/01/2551,27.43,2.7,30.74
KANA,10/01/2551,24.43,-0.3,22.84
KANA,11/01/2551,28.73,-2.1,21.04
KANA,12/01/2551,12.75,-4.3,18.34
KANA,01/01/2552,14.40,-4.1,18.34
KANA,02/01/2552,14.76,-2.7,19.59
KANA,03/01/2552,22.16,-2.9,22.69
KANA,04/01/2552,23.90,-2.2,22.79
KANA,05/01/2552,18.11,-2.5,25.39
KANA,06/01/2552,22.79,-1.4,27.39
KANA,07/01/2552,18.90,-0.8,28.09
KANA,08/01/2552,15.75,0.8,27.69
KANA,09/01/2552,25.95,1.6,25.79
KANA,10/01/2552,33.69,3.1,28.19
KANA,12/01/2552,11.10,4.3,27.19
KANA,01/01/2553,24.90,4.7,27.59
KANA,02/01/2553,32.63,4.8,28.69
KANA,03/01/2553,15.11,3.5,28.79
KANA,04/01/2553,15.26,2.8,29.89
KANA,05/01/2553,27.86,2.7,27.99
KANA,06/01/2553,29.98,2.5,28.89
KANA,07/01/2553,32.73,2.2,28.59
KANA,08/01/2553,22.13,2.2,27.79
CHICKEN,01/01/2543,56.13,2.0,11.52
CHICKEN,02/01/2543,57.29,2.3,11.82
CHICKEN,03/01/2543,53.76,2.1,12.17
CHICKEN,04/01/2543,52.50,1.3,11.12
CHICKEN,05/01/2543,53.95,1.3,12.02
CHICKEN,06/01/2543,55.50,1.6,12.99
CHICKEN,07/01/2543,55.50,1.6,13.29
CHICKEN,08/01/2543,55.18,1.9,13.89
CHICKEN,09/01/2543,55.50,2.2,14.44
CHICKEN,10/01/2543,55.50,1.3,15.04
CHICKEN,11/01/2543,53.07,1.7,15.04
CHICKEN,01/01/2544,57.88,1.7,13.44
CHICKEN,02/01/2544,57.92,2.0,12.94
CHICKEN,03/01/2544,53.55,1.8,13.34
CHICKEN,04/01/2544,55.26,2.6,14.54
CHICKEN,05/01/2544,58.60,2.9,14.54
CHICKEN,06/01/2544,59.50,2.2,14.04
CHICKEN,07/01/2544,62.50,1.9,13.64
CHICKEN,08/01/2544,61.32,0.9,14.14
CHICKEN,09/01/2544,59.00,1.1,13.64
CHICKEN,10/01/2544,57.30,0.4,12.79
CHICKEN,11/01/2544,54.59,0.4,11.79
CHICKEN,12/01/2544,56.50,0.0,11.2
CHICKEN,01/01/2545,55.14,0.1,11.69
CHICKEN,02/01/2545,53.50,-0.2,11.99
CHICKEN,03/01/2545,53.40,0.3,12.89
CHICKEN,04/01/2545,51.42,0.7,13.49
CHICKEN,05/01/2545,52.60,0.6,13.29
CHICKEN,06/01/2545,54.00,0.6,12.79
CHICKEN,07/01/2545,54.00,0.4,12.79
CHICKEN,08/01/2545,51.90,0.1,13.39
CHICKEN,09/01/2545,51.00,0.7,14.29
CHICKEN,10/01/2545,51.00,2.2,14.39
CHICKEN,11/01/2545,51.00,1.7,13.59
CHICKEN,12/01/2545,51.00,2.1,14.59
CHICKEN,01/01/2546,49.91,3.3,14.79
